data,open,high,low,close,vol,amount,up,down,MA1,MA2,MA3,MA4,MA5,MA6,,MA1,MA2,MA3,K,D,J,DIFF,DEA,MACD,RSI1,RSI2,RSI3,
2016/1/22,2911.11,2931.36,2851.73,2916.56,159810736,1.70E+11,923,113,2939.062,2959.309,3184.39,3312.379,3426.282,3401.745,159810736,187594256,202318400,204311040,24.343,20.341,32.345,-157.871,-138.076,-39.591,35.385,33.07,36.064,50
2016/1/25,2934.08,2955.78,2911.83,2938.51,153039056,1.64E+11,902,127,2943.996,2951.49,3149.92,3295.843,3418.881,3394.656,153039056,185262128,190457936,202040432,30.819,23.834,44.79,-153.299,-141.121,-24.357,39.398,35.056,37.079,58.333
2016/1/26,2907.72,2911.99,2743.84,2749.79,210836048,2.13E+11,23,1028,2892.406,2924.183,3110.72,3270.147,3409.293,3386.69,210836048,186373392,190775584,199083072,21.274,22.981,17.861,-163.024,-145.501,-35.046,24.012,27.423,32.455,50
2016/1/27,2756.08,2768.77,2638.3,2735.56,215722048,2.07E+11,312,735,2844.18,2902.779,3069.312,3244.321,3399.607,3378.955,215722048,186216704,192919584,200741584,22.76,22.907,22.466,-169.921,-150.385,-39.072,23.192,26.941,32.14,50
2016/1/28,2711.16,2740.54,2647.49,2655.66,171120288,1.67E+11,74,979,2799.216,2867.58,3023.45,3215.637,3386.208,3370.895,171120288,182105632,188741040,199903104,16.704,20.84,8.434,-179.762,-156.261,-47.003,18.856,24.32,30.408,41.667
2016/1/29,2652.85,2755.37,2649.79,2737.6,186673104,1.80E+11,1019,32,2763.424,2851.243,2983.372,3187.557,3373.121,3362.403,186673104,187478112,187536176,200388576,19.893,20.524,18.632,-178.887,-160.786,-36.202,34.034,31.748,34.201,50
2016/2/1,2730.98,2735.26,2655.62,2688.85,156383744,1.53E+11,267,778,2713.492,2828.744,2953.001,3157.886,3358.101,3354.022,156383744,188147040,186704592,198986848,17.72,19.589,13.981,-180.052,-164.639,-30.826,30.025,29.847,33.082,41.667
2016/2/2,2687.98,2755.16,2687.98,2749.57,158078208,1.59E+11,1038,14,2713.448,2802.927,2926.094,3128.123,3343.146,3346.423,158078208,177595472,181984432,193546656,22.102,20.427,25.452,-174.069,-166.525,-15.087,40.502,35.126,35.812,50
2016/2/3,2719.57,2746.07,2696.88,2739.25,148397216,1.47E+11,508,513,2714.186,2779.183,2894.965,3097.706,3328.125,3338.048,148397216,164130512,175173616,189022176,25.334,22.063,31.876,-168.221,-166.864,-2.713,39.302,34.643,35.555,41.667
2016/2/4,2751.43,2793.3,2751.31,2781.02,170382016,1.75E+11,1012,38,2739.258,2769.237,2877.766,3069.203,3313.638,3328.486,170382016,163982864,173044240,194012832,31.874,25.333,44.956,-158.39,-165.169,13.559,46.938,38.387,37.453,41.667
2016/2/5,2783.08,2790.06,2762.16,2763.49,141186288,1.46E+11,272,763,2744.436,2753.93,2856.62,3040.903,3299.148,3318.783,141186288,154885488,171181808,186750096,36.496,29.054,51.381,-150.281,-162.192,23.821,44.141,37.406,36.976,41.667
2016/2/15,2684.96,2760.36,2682.09,2746.2,129263936,1.29E+11,327,708,2755.906,2734.699,2843.094,3011.513,3285.237,3309.282,129263936,149461536,168804288,179631120,47.535,35.215,72.177,-143.595,-158.472,29.755,41.233,36.405,36.498,41.667
2016/2/16,2758.58,2840.62,2758.58,2836.57,195961616,1.99E+11,1045,7,2773.306,2743.377,2833.78,2988.273,3272.397,3299.965,195961616,157038208,167316848,179046208,64.324,44.918,103.138,-129.511,-152.68,46.339,58.416,44.824,40.682,41.667
2016/2/17,2829.76,2868.7,2824.36,2867.34,216909920,2.26E+11,832,194,2798.924,2756.555,2829.667,2965.059,3260.106,3290.815,216909920,170740752,167435632,180177600,76.009,55.282,117.464,-114.546,-145.053,61.015,62.853,47.41,42.039,41.667
2016/2/18,2881.78,2893.21,2857.7,2862.89,219203872,2.31E+11,415,606,2815.298,2777.278,2822.429,2941.393,3248.347,3281.392,219203872,180505120,172244000,180492512,79.752,63.439,112.38,-101.87,-136.417,69.092,61.71,47.062,41.895,41.667
2016/2/19,2854.9,2872.72,2840.49,2860.02,163391408,1.78E+11,518,490,2834.604,2789.52,2820.382,2918.754,3235.729,3273.991,163391408,184946144,169915824,178726000,81.261,69.379,105.025,-91.008,-127.335,72.654,60.854,46.82,41.798,41.667
