,adjust_date,adpage_id,campaign_id,clicks,cost,cpc,feed,id,id_linkpair,impression,report_date,revenue,rpc,rpi,trigger_words,utime,weight_new,weight_new5,weight_old,return,return_ratio,weight_alloc
0,0000-00-00,1594674,351062694,9,10.375,0.266026,topmyths,15695142,108027,39,2018-12-05,7.48886,0.832096,0.192022,eczema treatments,2018-12-28 13:59:44,-1.0,-1.0,10.0,-2.88614,-0.2781821686746988,
1,0000-00-00,1594675,351062694,12,14.8974,0.266026,topmyths,15695143,108027,56,2018-12-05,13.9131,1.15943,0.248448,methotrexate eczema treatment,2018-12-28 13:59:44,-1.0,-1.0,10.0,-0.9842999999999993,-0.06607193201498243,
2,0000-00-00,1598859,351062694,0,0.0,0.0,,16041758,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-07 21:20:53,-1.0,-1.0,-1.0,0.0,,
3,0000-00-00,1599302,351062694,0,0.0,0.0,,16370544,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-08 21:20:25,-1.0,-1.0,-1.0,0.0,,
4,0000-00-00,1600374,351062694,0,0.0,0.0,,16371584,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-08 21:20:25,-1.0,-1.0,-1.0,0.0,,
5,0000-00-00,1604180,351062694,0,0.0,0.0,,20979260,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
6,0000-00-00,1604181,351062694,0,0.0,0.0,,20979261,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
7,0000-00-00,1604185,351062694,0,0.0,0.0,,20979264,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
8,0000-00-00,1604186,351062694,0,0.0,0.0,,20979265,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
9,0000-00-00,1606003,351062694,0,0.0,0.0,,20980649,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
10,0000-00-00,1609036,351062694,0,0.0,0.0,,20982999,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
11,0000-00-00,1616283,351062694,0,0.0,0.0,,20988409,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
12,0000-00-00,1616284,351062694,0,0.0,0.0,,20988410,108027,0,2018-12-05,0.0,0.0,0.0,,2018-12-28 13:59:42,-1.0,-1.0,-1.0,0.0,,
